wavelength,species,ep,gf,Sun,0727-1079644,0733-0837663
4630.12,26,2.28,-2.52,75.7,75.1,65.6
4635.85,26,2.85,-2.34,56.2,57,50.8
4683.56,26,2.83,-2.41,58.8,59.1,
4690.14,26,3.69,-1.61,60.1,59.7,
4745.8,26,3.65,-1.27,79.1,81.2,73.2
4749.95,26,4.56,-1.24,37.5,42.8,40.9
4779.44,26,3.42,-2.16,41.7,39.4,34.5
4788.76,26,3.24,-1.73,68.2,64.8,60.9
4799.41,26,3.64,-2.13,36.6,48.5,30.7
4800.64,26,4.14,-1.1,72.5,,63.1
4808.15,26,3.25,-2.69,30.1,28.5,34.9
4950.1,26,3.42,-1.56,80.8,76.3,70.1
4961.91,26,3.63,-2.19,26.8,79,21.1
4962.57,26,4.18,-1.18,54.9,,49.9
4973.09,26,3.96,-0.77,52,,79.7
5044.211,26,2.851,-2.058,,62.9,55
5054.64,26,3.64,-1.98,32.8,28.2,24.7
5067.14,26,4.22,-0.86,68.1,71.5,58.5
5090.77,26,4.26,-0.49,,,79.1
5109.65,26,4.3,-0.73,81.5,82.3,80.2
5126.19,26,4.26,-0.85,87.2,81.1,67.6
5127.36,26,0.91,-3.33,,,83.8
5131.47,26,2.22,-2.46,,,89.9
5141.74,26,2.42,-2.23,86.2,78.8,72.8
5145.09,26,2.2,-3.08,54.9,,40.9
5159.05,26,4.28,-0.81,72.6,66.4,63
5187.91,26,4.14,-1.26,62.7,71.9,55.4
5198.71,26,2.22,-2.14,,,83
5217.92,26,3.64,-1.72,51.7,44.3,62.7
5225.525,26,0.11,-4.789,75.7,71.1,65.6
5228.38,26,4.22,-1.19,66.7,,69
5242.49,26,3.63,-0.99,87.2,86.4,82.7
5243.77,26,4.26,-0.99,62.7,62.9,
5247.05,26,0.087,-4.961,68.9,,71.1
5250.208,26,0.121,-4.938,72,66.7,61.9
5253.46,26,3.28,-1.57,80.6,79.3,70.6
5285.13,26,4.43,-1.54,33.3,31,43
5288.52,26,3.69,-1.51,59.5,56.7,51.4
5293.96,26,4.14,-1.77,31.4,27.9,24
5295.31,26,4.42,-1.59,28.8,27.8,20.1
5307.36,26,1.61,-2.97,,,88.4
5321.1,26,4.43,-1.26,42.1,38.6,32.7
5322.04,26,2.28,-2.89,61.7,59.2,48.9
5365.4,26,3.57,-1.25,80.2,80.5,
5373.71,26,4.47,-0.74,63.5,61.6,56
5379.57,26,3.69,-1.51,60.7,58.8,49.8
5386.33,26,4.15,-1.67,32.2,31.4,24.6
5389.48,26,4.41,-0.45,84.7,84.6,77.2
5409.13,26,4.37,-1.06,58.5,57,55.5
5432.95,26,4.45,-0.94,71.7,72.6,75.3
5441.34,26,4.31,-1.63,32.5,31.6,25.3
5464.28,26,4.14,-1.58,38.2,,31.9
5472.71,26,4.21,-1.52,44.7,41.2,35.2
5473.9,26,4.15,-0.72,84.9,90,77.9
5483.1,26,4.15,-1.45,51.5,56,52.4
5487.15,26,4.42,-1.43,39.9,38.9,35.2
5491.832,26,4.186,-2.188,12.8,,
5522.45,26,4.21,-1.45,,,33.5
5525.54,26,4.23,-1.12,58.5,59.3,49.9
5543.94,26,4.22,-1.04,66.9,68.7,59.6
5546.51,26,4.37,-1.21,55.2,57.7,50.5
5554.89,26,4.55,-0.36,,,83.8
5560.21,26,4.43,-1.09,52,49.8,45.6
5567.39,26,2.61,-2.66,74.9,69.9,
5584.76,26,3.57,-2.22,40.9,36.4,29.7
5600.224,26,4.26,-1.42,49.8,71.8,
5618.63,26,4.21,-1.27,53.7,48.7,44.5
5619.6,26,4.39,-1.6,37.6,32.9,28
5633.95,26,4.99,-0.23,73,72.6,62.5
5635.82,26,4.26,-1.79,37.5,36.7,31.2
5638.26,26,4.22,-0.77,80,79.5,68.7
5650.71,26,5.09,-0.86,40.8,41.2,44.1
5651.469,26,4.473,-1.75,18.7,16,14.9
5653.87,26,4.39,-1.54,41.5,42.6,35.5
5661.348,26,4.284,-1.756,23.6,23,20.3
5679.023,26,4.652,-0.75,61.3,62.1,53
5686.53,26,4.55,-0.57,83.7,,
5696.09,26,4.548,-1.72,13.1,12.4,
5701.544,26,2.559,-2.163,86.9,87.6,79.8
5705.464,26,4.301,-1.355,39.7,54.7,33.4
5717.83,26,4.28,-1.03,65.9,70.6,61.3
5731.76,26,4.26,-1.2,60.8,62.7,
5775.08,26,4.22,-1.3,60.1,59.8,52.3
5778.453,26,2.588,-3.44,21.7,26.8,
5784.658,26,3.396,-2.532,28.8,25.4,20
5793.914,26,4.22,-1.619,35.2,29.8,26.6
5806.73,26,4.61,-0.95,55.8,57.1,50.4
5809.218,26,3.883,-1.71,51.8,48.6,
5852.22,26,4.55,-1.23,41.1,,31.4
5855.076,26,4.608,-1.478,22.5,21,18.5
5856.09,26,4.29,-1.46,34.7,32.4,
5859.59,26,4.55,-0.58,74.3,71.5,65.8
5905.67,26,4.65,-0.69,60.2,57.8,50.7
5909.97,26,3.21,-2.6,40.9,35.1,31.2
5916.25,26,2.45,-2.99,57.4,54.3,47.3
5927.79,26,4.65,-0.99,49.5,43,40.3
5929.68,26,4.55,-1.31,43.3,42.9,36.3
5930.18,26,4.65,-0.17,,,89.1
5934.65,26,3.93,-1.07,81.3,76.5,
5952.72,26,3.98,-1.34,65.3,69.5,63.2
5956.694,26,0.859,-4.552,51.9,47,32.2
6003.01,26,3.88,-1.06,86.5,87.4,73.5
6027.05,26,4.076,-1.09,66.1,66.8,62.7
6027.05,26,4.07,-1.13,66.1,66.8,62.7
6056,26,4.73,-0.4,75.1,75.8,63.5
6079.01,26,4.65,-1.02,47.8,69.9,
6082.71,26,2.22,-3.57,36.2,53,29.7
6085.26,26,2.76,-3.05,43.4,49.6,
6093.644,26,4.607,-1.3,,,26
6096.665,26,3.984,-1.81,38.2,31,27.2
6127.91,26,4.14,-1.4,50.3,38.3,44.5
6151.618,26,2.176,-3.282,50.5,49.8,36.4
6157.72,26,4.07,-1.2,64.6,50.6,
6165.36,26,4.143,-1.46,46,44.4,
6170.51,26,4.8,-0.38,85.1,85.9,74.6
6173.335,26,2.223,-2.88,69.1,66.7,
6180.2,26,2.73,-2.63,59.1,61.6,49.2
6187.99,26,3.94,-1.62,48.6,49.4,37.5
6200.313,26,2.609,-2.416,75.3,73.2,63.9
6213.43,26,2.223,-2.52,83.4,82.2,71.4
6219.28,26,2.2,-2.43,,,82.3
6229.23,26,2.85,-2.83,40.3,38.1,
6232.64,26,3.65,-1.22,87.2,85,71.3
6240.646,26,2.223,-3.287,49.7,46.2,41.1
6265.134,26,2.176,-2.547,87.1,85,77
6270.225,26,2.858,-2.54,53.2,,52.8
6297.793,26,2.223,-2.715,75.4,,79.5
6311.5,26,2.831,-3.141,30,25.8,29.6
6322.69,26,2.59,-2.43,77.1,77.8,65.2
6335.33,26,2.2,-2.26,,,88.7
6344.15,26,2.43,-2.92,70,71.1,
6355.03,26,2.84,-2.31,82.1,76.7,66.2
6358.68,26,0.86,-4.24,87.8,78.1,67.8
6380.74,26,4.19,-1.32,54.1,56.1,46.4
6419.95,26,4.73,-0.24,87.9,,78.7
